,GEOID,B03002e1,B03002m1,B03002e2,B03002m2,B03002e3,B03002m3,B03002e4,B03002m4,B03002e5,B03002m5,B03002e6,B03002m6,B03002e7,B03002m7,B03002e8,B03002m8,B03002e9,B03002m9,B03002e10,B03002m10,B03002e11,B03002m11,B03002e12,B03002m12,B03002e13,B03002m13,B03002e14,B03002m14,B03002e15,B03002m15,B03002e16,B03002m16,B03002e17,B03002m17,B03002e18,B03002m18,B03002e19,B03002m19,B03002e20,B03002m20,B03002e21,B03002m21,B03003e1,B03003m1,B03003e2,B03003m2,B03003e3,B03003m3,OBJECTID
10,15000US060014005001,2548,323,2209,274,1354,240,622,176,0,12,94,77,24,37,11,18,104,86,0,12,104,86,339,215,257,213,0,12,0,12,0,12,0,12,34,28,48,40,37,34,11,19,2548,323,2209,274,339,215,13
11,15000US060014005002,674,252,643,251,348,183,211,147,0,12,30,50,0,12,8,14,46,42,0,12,46,42,31,35,22,23,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,674,252,643,251,31,35,14
12,15000US060014005003,526,164,410,121,270,86,111,112,0,12,16,18,0,12,0,12,13,15,8,13,5,9,116,122,72,115,0,12,0,12,0,12,0,12,23,28,21,33,21,33,0,12,526,164,410,121,116,122,15
13,15000US060014006001,1105,150,999,165,400,80,394,160,5,7,85,66,0,12,19,24,96,48,0,12,96,48,106,73,24,24,12,20,0,12,16,24,0,12,54,66,0,12,0,12,0,12,1105,150,999,165,106,73,16
14,15000US060014006002,556,118,504,121,236,77,190,85,0,12,31,34,0,12,0,12,47,39,8,11,39,37,52,38,28,25,0,12,0,12,10,14,0,12,0,12,14,20,14,20,0,12,556,118,504,121,52,38,17
15,15000US060014007001,1143,239,899,218,338,114,441,206,0,12,66,57,0,12,0,12,54,43,0,12,54,43,244,122,153,149,0,12,16,20,0,12,0,12,55,55,20,18,6,10,14,15,1143,239,899,218,244,122,18
16,15000US060014007002,1536,366,1465,365,650,270,757,296,6,9,0,12,0,12,0,12,52,62,0,12,52,62,71,59,58,53,0,12,0,12,0,12,0,12,0,12,13,22,13,22,0,12,1536,366,1465,365,71,59,19
17,15000US060014007003,706,198,513,132,265,104,192,84,0,12,27,25,0,12,0,12,29,37,0,12,29,37,193,189,39,36,0,12,0,12,0,12,0,12,154,187,0,12,0,12,0,12,706,198,513,132,193,189,20
18,15000US060014007004,1167,331,923,237,447,146,301,156,69,96,26,30,0,12,0,12,80,94,0,12,80,94,244,171,160,117,0,12,0,12,0,12,0,12,13,15,71,86,0,12,71,86,1167,331,923,237,244,171,21
19,15000US060014008001,1585,411,1469,407,468,151,693,360,7,11,226,126,0,12,0,12,75,69,35,39,40,38,116,74,0,12,13,21,0,12,0,12,0,12,58,48,45,54,21,30,24,26,1585,411,1469,407,116,74,22
20,15000US060014008002,823,247,566,176,340,134,171,85,0,12,16,23,0,12,0,12,39,37,0,12,39,37,257,161,141,105,0,12,0,12,0,12,0,12,116,174,0,12,0,12,0,12,823,247,566,176,257,161,23
21,15000US060014008003,1098,252,1050,253,582,147,229,183,0,12,194,87,0,12,0,12,45,37,0,12,45,37,48,39,20,24,0,12,0,12,0,12,0,12,0,12,28,32,18,20,10,15,1098,252,1050,253,48,39,24
22,15000US060014009001,1321,214,1140,221,396,186,522,165,10,17,103,106,0,12,34,37,75,48,6,10,69,48,181,122,85,85,8,14,0,12,0,12,0,12,88,97,0,12,0,12,0,12,1321,214,1140,221,181,122,25
23,15000US060014009002,941,165,858,171,503,115,212,116,0,12,85,54,0,12,29,33,29,23,0,12,29,23,83,79,27,22,0,12,0,12,0,12,0,12,45,69,11,16,0,12,11,16,941,165,858,171,83,79,26
24,15000US060014010001,1248,393,1016,391,165,97,573,345,0,12,15,23,71,107,26,42,166,212,90,141,76,78,232,206,217,206,0,12,0,12,0,12,0,12,15,24,0,12,0,12,0,12,1248,393,1016,391,232,206,27
25,15000US060014010002,1046,345,752,311,403,217,265,218,0,12,16,25,0,12,0,12,68,67,0,12,68,67,294,177,15,22,37,59,0,12,0,12,0,12,152,183,90,78,57,72,33,36,1046,345,752,311,294,177,28
26,15000US060014010003,1525,319,1226,303,534,238,573,248,0,12,56,62,0,12,30,47,33,44,0,12,33,44,299,239,42,47,0,12,0,12,0,12,0,12,49,72,208,227,41,49,167,221,1525,319,1226,303,299,239,29
27,15000US060014010004,581,274,385,153,193,104,74,84,9,16,49,46,0,12,0,12,60,84,0,12,60,84,196,207,20,34,0,12,0,12,0,12,0,12,108,181,68,92,68,92,0,12,581,274,385,153,196,207,30
28,15000US060014010005,837,320,630,267,246,168,338,213,0,12,21,30,14,23,0,12,11,17,10,17,1,3,207,183,83,119,18,28,0,12,0,12,0,12,96,138,10,16,0,12,10,16,837,320,630,267,207,183,31
29,15000US060014010006,956,327,804,291,373,185,234,124,0,12,37,41,0,12,0,12,160,229,0,12,160,229,152,126,42,54,67,113,0,12,0,12,0,12,27,31,16,26,16,26,0,12,956,327,804,291,152,126,32
30,15000US060014011001,480,170,455,171,235,84,99,81,0,12,53,51,0,12,0,12,68,64,0,12,68,64,25,38,25,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,480,170,455,171,25,38,33
31,15000US060014011002,1384,229,1118,229,888,194,107,100,0,12,70,88,0,12,0,12,53,64,0,12,53,64,266,115,88,59,35,57,0,12,0,12,0,12,90,82,53,65,14,22,39,61,1384,229,1118,229,266,115,34
32,15000US060014011003,1166,338,1132,338,496,256,268,202,0,12,342,246,0,12,0,12,26,30,0,12,26,30,34,39,20,32,0,12,0,12,0,12,0,12,0,12,14,22,0,12,14,22,1166,338,1132,338,34,39,35
33,15000US060014011004,1108,318,978,303,511,216,195,141,0,12,157,120,0,12,0,12,115,80,0,12,115,80,130,109,128,109,0,12,0,12,0,12,0,12,2,4,0,12,0,12,0,12,1108,318,978,303,130,109,36
34,15000US060014012001,1193,197,875,168,694,161,76,55,0,12,65,46,0,12,0,12,40,30,0,12,40,30,318,181,117,82,0,12,7,13,0,12,0,12,95,117,99,125,81,119,18,27,1193,197,875,168,318,181,37
35,15000US060014012002,869,141,803,140,492,123,158,94,0,12,91,57,0,12,0,12,62,53,0,12,62,53,66,43,35,29,7,20,2,4,0,12,0,12,3,10,19,16,10,16,9,14,869,141,803,140,66,43,38
36,15000US060014012003,552,119,498,107,300,95,132,74,10,8,30,45,0,12,0,12,26,23,0,12,26,23,54,66,10,15,0,12,0,12,0,12,0,12,44,65,0,12,0,12,0,12,552,119,498,107,54,66,39
37,15000US060014013001,1119,222,1038,206,394,115,486,156,0,12,132,82,0,12,0,12,26,30,0,12,26,30,81,51,28,31,2,4,9,14,0,12,0,12,8,12,34,34,19,30,15,16,1119,222,1038,206,81,51,40
38,15000US060014013002,1693,574,1410,501,477,139,560,388,28,30,279,98,0,12,0,12,66,47,0,12,66,47,283,142,51,79,9,16,0,12,0,12,0,12,153,139,70,56,46,51,24,26,1693,574,1410,501,283,142,41
39,15000US060014013003,1164,310,1022,284,416,149,243,141,0,12,298,208,0,12,0,12,65,51,0,12,65,51,142,84,104,76,0,12,0,12,0,12,0,12,27,28,11,19,11,19,0,12,1164,310,1022,284,142,84,42
40,15000US060014014001,1029,282,683,252,125,107,443,214,38,48,0,12,0,12,0,12,77,86,7,13,70,85,346,163,154,112,0,12,0,12,0,12,0,12,192,174,0,12,0,12,0,12,1029,282,683,252,346,163,43
41,15000US060014014002,1990,406,1398,361,428,159,609,282,0,12,263,174,27,35,36,57,35,48,0,12,35,48,592,201,380,217,0,12,22,36,17,28,0,12,136,102,37,45,11,18,26,41,1990,406,1398,361,592,201,44
42,15000US060014014003,1089,297,882,255,138,90,568,199,40,45,89,91,0,12,0,12,47,54,0,12,47,54,207,158,116,124,0,12,0,12,0,12,0,12,72,80,19,43,0,12,19,43,1089,297,882,255,207,158,45
43,15000US060014015001,1095,213,1025,210,323,123,521,135,4,8,84,63,23,38,0,12,70,56,0,12,70,56,70,45,46,41,5,8,0,12,0,12,0,12,19,23,0,12,0,12,0,12,1095,213,1025,210,70,45,46
44,15000US060014015002,747,179,657,156,360,170,187,76,0,12,85,108,0,12,0,12,25,20,0,12,25,20,90,57,33,25,0,12,0,12,0,12,0,12,39,48,18,15,0,12,18,15,747,179,657,156,90,57,47
45,15000US060014015003,763,273,609,281,274,250,301,118,0,12,20,22,0,12,0,12,14,13,3,6,11,11,154,128,54,71,0,12,2,5,0,12,0,12,87,110,11,15,0,12,11,15,763,273,609,281,154,128,48
46,15000US060014016001,1164,239,795,203,321,117,338,123,0,12,71,46,0,12,20,29,45,40,0,12,45,40,369,229,321,231,0,12,11,14,0,12,0,12,17,19,20,28,0,12,20,28,1164,239,795,203,369,229,49
47,15000US060014016002,1009,188,900,192,233,102,375,126,0,12,162,100,65,95,0,12,65,46,0,12,65,46,109,64,35,38,0,12,0,12,0,12,0,12,45,48,29,23,7,10,22,21,1009,188,900,192,109,64,50
48,15000US060014017001,768,201,643,205,310,119,199,136,0,12,88,63,0,12,0,12,46,46,0,12,46,46,125,105,112,106,0,12,0,12,0,12,0,12,13,18,0,12,0,12,0,12,768,201,643,205,125,105,51
49,15000US060014017002,1828,280,1161,228,508,151,443,184,0,12,179,88,0,12,0,12,31,35,21,31,10,16,667,293,254,147,0,12,0,12,8,12,0,12,395,285,10,16,0,12,10,16,1828,280,1161,228,667,293,52
50,15000US060014017003,83,38,33,54,33,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,50,55,0,12,0,12,0,12,0,12,0,12,35,56,15,36,15,36,0,12,83,38,33,54,50,55,53
51,15000US060014018001,954,278,767,197,301,100,304,177,0,12,13,14,0,12,0,12,149,86,0,12,149,86,187,155,36,36,16,26,0,12,0,12,0,12,30,38,105,134,0,12,105,134,954,278,767,197,187,155,54
52,15000US060014018002,912,206,738,195,209,97,494,170,0,12,30,30,0,12,5,8,0,12,0,12,0,12,174,110,61,72,0,12,0,12,0,12,0,12,113,95,0,12,0,12,0,12,912,206,738,195,174,110,55
53,15000US060014022001,916,180,735,170,184,81,422,144,17,26,95,63,0,12,0,12,17,22,0,12,17,22,181,88,46,44,0,12,0,12,0,12,0,12,103,64,32,39,11,18,21,34,916,180,735,170,181,88,56
54,15000US060014022002,937,200,703,172,194,104,281,127,0,12,203,128,0,12,0,12,25,23,0,12,25,23,234,158,180,150,0,12,0,12,0,12,0,12,42,47,12,19,0,12,12,19,937,200,703,172,234,158,57
55,15000US060014022003,553,152,423,134,274,122,65,42,0,12,43,38,37,62,0,12,4,6,0,12,4,6,130,83,94,101,0,12,0,12,0,12,0,12,23,35,13,19,13,19,0,12,553,152,423,134,130,83,58
56,15000US060014024001,1639,256,1448,294,529,242,827,252,0,12,81,82,0,12,0,12,11,23,0,12,11,23,191,152,77,86,55,73,0,12,0,12,0,12,51,79,8,18,4,9,4,10,1639,256,1448,294,191,152,59
57,15000US060014024002,1134,304,1088,306,76,54,712,284,15,12,222,95,9,14,0,12,54,56,0,12,54,56,46,62,2,4,2,4,1,2,0,12,0,12,21,31,20,31,1,2,19,31,1134,304,1088,306,46,62,60
58,15000US060014025001,1166,166,921,155,120,97,740,156,0,12,15,22,0,12,0,12,46,45,0,12,46,45,245,125,123,127,12,17,0,12,0,12,0,12,81,86,29,30,19,28,10,15,1166,166,921,155,245,125,61
59,15000US060014025002,667,151,559,140,35,45,431,126,0,12,64,65,0,12,0,12,29,26,2,3,27,25,108,90,22,35,22,34,14,22,0,12,0,12,9,15,41,52,8,12,33,50,667,151,559,140,108,90,62
60,15000US060014026001,1272,118,1178,127,219,86,327,84,2,3,598,121,0,12,5,7,27,24,0,12,27,24,94,49,53,42,0,12,0,12,0,12,0,12,36,40,5,7,0,12,5,7,1272,118,1178,127,94,49,63
61,15000US060014027001,719,181,587,168,292,131,192,96,11,16,81,65,0,12,0,12,11,10,0,12,11,10,132,84,78,80,6,8,0,12,0,12,0,12,29,21,19,24,19,24,0,12,719,181,587,168,132,84,64
62,15000US060014027002,1015,216,751,153,185,84,425,195,0,12,94,70,0,12,11,17,36,40,0,12,36,40,264,168,79,68,5,7,22,25,0,12,0,12,80,98,78,105,0,12,78,105,1015,216,751,153,264,168,65
63,15000US060014028001,1459,219,1254,230,397,144,538,172,13,21,297,130,0,12,0,12,9,13,0,12,9,13,205,93,118,82,7,11,0,12,0,12,0,12,46,59,34,36,0,12,34,36,1459,219,1254,230,205,93,66
64,15000US060014028002,2339,270,2207,281,515,153,1044,201,0,12,505,148,0,12,0,12,143,59,0,12,143,59,132,57,31,31,14,22,23,33,0,12,0,12,30,31,34,27,0,12,34,27,2339,270,2207,281,132,57,67
65,15000US060014029001,1392,101,1225,104,326,71,286,61,33,33,514,89,0,12,0,12,66,34,0,12,66,34,167,64,43,29,0,12,13,18,20,22,0,12,80,54,11,8,6,8,5,7,1392,101,1225,104,167,64,68
66,15000US060014030001,1737,230,1704,227,165,77,0,12,39,35,1396,244,69,71,8,13,27,26,0,12,27,26,33,30,7,11,0,12,0,12,0,12,0,12,26,29,0,12,0,12,0,12,1737,230,1704,227,33,30,69
67,15000US060014030002,1430,235,1407,229,45,35,139,150,0,12,1211,220,0,12,12,28,0,12,0,12,0,12,23,38,23,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1430,235,1407,229,23,38,70
68,15000US060014031001,1721,340,1550,286,436,131,302,197,29,33,739,91,6,9,0,12,38,44,0,12,38,44,171,76,55,29,0,12,7,13,7,13,0,12,85,61,17,18,6,14,11,11,1721,340,1550,286,171,76,71
69,15000US060014033001,2346,374,2174,395,761,244,232,175,0,12,873,298,0,12,0,12,308,202,0,12,308,202,172,117,129,90,0,12,0,12,0,12,0,12,43,69,0,12,0,12,0,12,2346,374,2174,395,172,117,72
70,15000US060014033002,1813,469,1669,484,88,105,169,183,19,32,1393,406,0,12,0,12,0,12,0,12,0,12,144,192,0,12,0,12,0,12,0,12,0,12,144,192,0,12,0,12,0,12,1813,469,1669,484,144,192,73
71,15000US060014034001,887,168,835,168,648,171,76,67,7,11,57,49,0,12,0,12,47,49,0,12,47,49,52,41,38,35,0,12,0,12,0,12,0,12,0,12,14,23,14,23,0,12,887,168,835,168,52,41,74
72,15000US060014034002,1180,281,1058,264,275,104,221,126,0,12,469,233,0,12,0,12,93,81,0,12,93,81,122,103,66,86,14,24,0,12,0,12,0,12,25,37,17,26,0,12,17,26,1180,281,1058,264,122,103,75
73,15000US060014034003,861,185,741,170,323,140,91,81,18,29,241,103,0,12,0,12,68,86,10,17,58,87,120,87,69,60,0,12,0,12,0,12,0,12,13,21,38,62,38,62,0,12,861,185,741,170,120,87,76
74,15000US060014034004,1432,313,1350,301,388,121,569,233,22,39,330,204,0,12,41,66,0,12,0,12,0,12,82,78,0,12,0,12,0,12,0,12,0,12,45,54,37,58,37,58,0,12,1432,313,1350,301,82,78,77
75,15000US060014035011,1940,311,1746,303,356,151,394,209,43,39,913,255,0,12,0,12,40,50,0,12,40,50,194,130,89,60,0,12,29,46,0,12,0,12,41,49,35,44,26,43,9,16,1940,311,1746,303,194,130,78
76,15000US060014035012,2062,397,1747,436,1038,383,423,193,0,12,49,42,0,12,0,12,237,148,0,12,237,148,315,258,59,53,32,45,0,12,0,12,0,12,33,48,191,245,25,32,166,239,2062,397,1747,436,315,258,79
77,15000US060014035013,433,183,409,183,74,55,242,147,0,12,60,78,0,12,0,12,33,54,0,12,33,54,24,39,24,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,433,183,409,183,24,39,80
78,15000US060014035021,798,170,733,178,523,130,50,37,0,12,147,87,0,12,0,12,13,15,0,12,13,15,65,58,20,24,0,12,0,12,25,39,0,12,20,32,0,12,0,12,0,12,798,170,733,178,65,58,81
79,15000US060014035022,1283,216,1176,219,552,126,373,157,0,12,166,132,0,12,0,12,85,69,0,12,85,69,107,63,42,33,0,12,0,12,0,12,0,12,64,58,1,4,1,4,0,12,1283,216,1176,219,107,63,82
80,15000US060014036001,1110,370,1038,362,309,140,418,239,0,12,95,80,0,12,0,12,216,185,0,12,216,185,72,97,34,59,15,24,0,12,0,12,0,12,3,7,20,33,20,33,0,12,1110,370,1038,362,72,97,83
81,15000US060014036002,1999,502,1750,474,842,233,595,388,0,12,207,176,4,7,14,22,88,76,0,12,88,76,249,179,29,29,0,12,0,12,0,12,0,12,109,73,111,160,0,12,111,160,1999,502,1750,474,249,179,84
82,15000US060014036003,1642,267,1364,231,647,140,359,171,35,51,264,154,0,12,0,12,59,49,20,32,39,39,278,157,181,133,70,82,0,12,0,12,0,12,27,42,0,12,0,12,0,12,1642,267,1364,231,278,157,85
83,15000US060014037011,1348,236,1215,230,724,148,273,157,0,12,126,53,0,12,21,33,71,51,0,12,71,51,133,84,70,52,0,12,0,12,0,12,0,12,30,34,33,32,33,32,0,12,1348,236,1215,230,133,84,86
84,15000US060014037012,1407,211,1250,196,800,138,200,90,0,12,115,71,0,12,7,12,128,110,102,109,26,23,157,78,125,74,0,12,0,12,0,12,0,12,32,30,0,12,0,12,0,12,1407,211,1250,196,157,78,87
85,15000US060014037021,632,172,480,138,361,125,19,30,0,12,40,31,17,19,0,12,43,47,0,12,43,47,152,107,13,20,0,12,0,12,0,12,0,12,130,104,9,15,9,15,0,12,632,172,480,138,152,107,88
86,15000US060014037022,1395,184,1300,205,823,158,156,88,0,12,239,159,19,29,0,12,63,59,0,12,63,59,95,79,62,65,0,12,0,12,0,12,0,12,0,12,33,31,0,12,33,31,1395,184,1300,205,95,79,89
87,15000US060014038001,539,112,505,119,303,99,0,12,0,12,116,55,0,12,6,9,80,59,0,12,80,59,34,44,0,12,0,12,0,12,0,12,0,12,0,12,34,44,0,12,34,44,539,112,505,119,34,44,90
88,15000US060014038002,803,131,734,127,596,137,11,18,0,12,99,51,0,12,0,12,28,25,0,12,28,25,69,56,69,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,803,131,734,127,69,56,91
89,15000US060014038003,718,158,611,139,336,87,141,80,0,12,92,44,0,12,0,12,42,31,0,12,42,31,107,79,105,79,0,12,0,12,0,12,0,12,2,4,0,12,0,12,0,12,718,158,611,139,107,79,92
90,15000US060014038004,1263,206,1193,200,905,144,102,80,0,12,77,45,0,12,7,11,102,108,0,12,102,108,70,56,45,39,0,12,0,12,0,12,0,12,25,40,0,12,0,12,0,12,1263,206,1193,200,70,56,93
91,15000US060014039001,1563,325,1487,319,821,235,112,89,12,18,397,225,0,12,38,60,107,109,0,12,107,109,76,55,28,33,16,26,0,12,0,12,0,12,32,36,0,12,0,12,0,12,1563,325,1487,319,76,55,94
92,15000US060014039002,692,190,658,193,404,124,126,150,0,12,64,67,0,12,0,12,64,67,0,12,64,67,34,37,34,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,692,190,658,193,34,37,95
93,15000US060014039003,1683,363,1634,360,928,263,433,305,0,12,228,127,0,12,0,12,45,39,0,12,45,39,49,52,22,38,0,12,0,12,0,12,0,12,27,36,0,12,0,12,0,12,1683,363,1634,360,49,52,96
94,15000US060014040001,1933,247,1632,219,1104,205,119,63,0,12,221,95,18,27,43,50,127,103,0,12,127,103,301,183,65,45,0,12,0,12,0,12,0,12,175,179,61,43,9,14,52,43,1933,247,1632,219,301,183,97
95,15000US060014040002,999,151,870,136,638,131,58,39,5,8,94,62,13,22,0,12,62,40,0,12,62,40,129,84,45,45,13,21,0,12,0,12,0,12,53,35,18,23,10,16,8,14,999,151,870,136,129,84,98
96,15000US060014041011,1226,191,1126,183,806,150,12,14,0,12,149,66,0,12,32,47,127,79,0,12,127,79,100,54,70,44,0,12,0,12,0,12,0,12,23,27,7,12,7,12,0,12,1226,191,1126,183,100,54,99
97,15000US060014041012,1961,259,1845,267,1286,218,164,89,8,11,230,141,0,12,5,7,152,134,0,12,152,134,116,69,83,58,0,12,0,12,0,12,0,12,9,14,24,33,8,13,16,31,1961,259,1845,267,116,69,100
98,15000US060014041021,1278,150,1205,158,961,165,19,20,0,12,174,92,19,29,10,16,22,31,0,12,22,31,73,58,10,16,0,12,8,12,0,12,0,12,26,23,29,37,0,12,29,37,1278,150,1205,158,73,58,101
99,15000US060014041022,1160,248,1015,227,654,119,245,207,4,6,112,47,0,12,0,12,0,12,0,12,0,12,145,91,55,48,8,13,0,12,13,19,0,12,7,11,62,61,45,58,17,20,1160,248,1015,227,145,91,102
100,15000US060014042001,957,182,944,179,699,176,68,66,0,12,43,39,19,18,0,12,115,80,0,12,115,80,13,17,13,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,957,182,944,179,13,17,103
101,15000US060014042002,1482,237,1432,230,1039,196,275,187,0,12,89,90,0,12,7,11,22,30,0,12,22,30,50,46,50,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1482,237,1432,230,50,46,104
102,15000US060014042003,1211,215,1093,194,687,166,152,113,0,12,203,101,7,12,0,12,44,40,7,12,37,38,118,88,96,84,0,12,0,12,0,12,0,12,9,15,13,17,6,11,7,12,1211,215,1093,194,118,88,105
103,15000US060014043001,1034,208,996,197,703,179,97,72,0,12,187,98,0,12,0,12,9,13,0,12,9,13,38,38,38,38,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1034,208,996,197,38,38,106
104,15000US060014043002,991,191,839,172,578,158,68,82,0,12,84,75,24,37,0,12,85,69,0,12,85,69,152,144,24,26,0,12,0,12,0,12,0,12,82,124,46,70,0,12,46,70,991,191,839,172,152,144,107
105,15000US060014043003,1304,185,1136,193,857,159,0,12,0,12,131,67,0,12,0,12,148,110,0,12,148,110,168,151,32,27,21,33,0,12,0,12,0,12,115,148,0,12,0,12,0,12,1304,185,1136,193,168,151,108
106,15000US060014044001,2206,383,2064,355,1450,349,22,34,0,12,511,153,0,12,0,12,81,68,0,12,81,68,142,116,142,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2206,383,2064,355,142,116,109
107,15000US060014044002,1527,432,1434,400,1019,320,72,86,0,12,252,151,0,12,0,12,91,89,0,12,91,89,93,132,45,63,0,12,0,12,0,12,0,12,0,12,48,68,0,12,48,68,1527,432,1434,400,93,132,110
108,15000US060014044003,1671,317,1548,321,1282,314,16,25,0,12,183,91,0,12,0,12,67,65,0,12,67,65,123,79,108,75,0,12,0,12,0,12,0,12,0,12,15,24,15,24,0,12,1671,317,1548,321,123,79,111
109,15000US060014045011,1836,92,1686,117,1193,140,81,64,0,12,255,91,6,9,0,12,151,60,18,26,133,54,150,82,116,72,0,12,0,12,0,12,0,12,34,44,0,12,0,12,0,12,1836,92,1686,117,150,82,112
110,15000US060014045021,532,139,467,121,446,117,0,12,0,12,21,27,0,12,0,12,0,12,0,12,0,12,65,96,65,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,532,139,467,121,65,96,113
111,15000US060014045022,1237,310,1160,240,781,182,57,91,0,12,251,190,0,12,0,12,71,79,0,12,71,79,77,148,77,148,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1237,310,1160,240,77,148,114
112,15000US060014045023,1808,387,1538,362,977,189,169,146,0,12,187,151,0,12,0,12,205,159,0,12,205,159,270,165,214,167,0,12,0,12,0,12,0,12,22,40,34,48,10,20,24,42,1808,387,1538,362,270,165,115
113,15000US060014045024,1826,320,1799,306,1363,221,39,71,0,12,243,143,0,12,0,12,154,110,0,12,154,110,27,45,27,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1826,320,1799,306,27,45,116
114,15000US060014046001,1081,151,1040,148,709,138,29,26,10,14,248,96,0,12,0,12,44,42,0,12,44,42,41,47,33,45,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,1081,151,1040,148,41,47,117
115,15000US060014046002,700,150,666,153,471,155,68,60,4,7,75,72,23,36,0,12,25,26,0,12,25,26,34,42,34,42,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,700,150,666,153,34,42,118
116,15000US060014046003,1250,199,1189,189,960,168,85,99,4,7,76,67,8,13,0,12,56,45,0,12,56,45,61,56,50,54,0,12,0,12,0,12,0,12,0,12,11,16,0,12,11,16,1250,199,1189,189,61,56,119
117,15000US060014046004,1316,185,1288,186,1038,136,20,16,0,12,180,135,0,12,11,19,39,39,15,24,24,31,28,24,19,20,0,12,0,12,0,12,0,12,0,12,9,14,9,14,0,12,1316,185,1288,186,28,24,120
118,15000US060014047001,1007,170,913,135,662,122,29,23,0,12,207,113,0,12,5,9,10,15,0,12,10,15,94,80,49,57,0,12,0,12,37,60,0,12,0,12,8,11,8,11,0,12,1007,170,913,135,94,80,121
119,15000US060014047002,1159,140,1085,130,868,133,85,46,0,12,68,28,0,12,15,21,49,36,0,12,49,36,74,68,70,68,0,12,4,8,0,12,0,12,0,12,0,12,0,12,0,12,1159,140,1085,130,74,68,122
120,15000US060014048001,1628,335,1446,307,452,116,349,229,18,23,470,218,0,12,7,11,150,82,0,12,150,82,182,154,78,71,0,12,16,98,0,12,0,12,41,56,47,71,0,12,47,71,1628,335,1446,307,182,154,123
